UserName,NumFollowers,ContentFirstLine,NumWords,NumPunctuation,NumEmojis,NumHashtags,NumLinks,NumLineBreaks,HasImage,HasVideo,PostMainSubject,PostMainFeeling,NumReactions,NumComments,NumShares
hilla-regev,5275,So what are you actually doing?,125,33,0,0,1,6,True,False,Marketing  ,Excitement,39,8,0
hilla-regev,5275,How to build a story that goes viral Hashtag Thoughts Weekend British fathers are frustrated,265,38,0,4,0,12,True,False,Social  ,Support,61,11,0
hilla-regev,5275,"Did you take a sick day this year? You are probably young. A survey conducted by gusto, a platform for human resources management in the United States, revealed that employees took an average of more sick days in compared to",138,27,1,0,0,9,True,False,Social  ,Humor,50,7,0
hilla-regev,5275,LACK table black color in excellent condition,326,57,0,0,0,12,True,False,Technology  ,Excitement,45,6,0
hilla-regev,5275,"It was never about the iPhone In the celebratory announcement of the new iPhone, reference to the new camera was included as usual",253,66,0,0,0,19,True,False,Technology  ,Critique,43,8,0
hilla-regev,5275,"Things I learned from Meta's conference yesterday. Last night, an intimate meeting was held at Meta's offices for the opening of the global holiday season for content creators, influencers, creators and performance managers.",272,48,0,0,0,15,True,False,Marketing,Support,48,4,0
hilla-regev,5275,I managed a team of influencers worth millions of shekels with dozens of hits every month,88,12,0,0,0,2,True,False,Marketing  ,Reflection,114,11,0
hilla-regev,5275,And now everyone is together there is no vacuum in social last weekend the social platform Bluesky Social announced that it had reached nine million registered users,202,41,0,0,1,8,True,False,Technology  ,Excitement,21,2,0
hilla-regev,5275,"When your logo is an international icon in popular culture, you can do almost anything.",135,27,0,1,0,7,True,False,Marketing  ,Critique,272,33,2
hilla-regev,5275,What is happening now between Elon Musk and the judicial system in Brazil,496,79,0,4,0,16,True,False,Politics  ,Critique,22,2,0
hilla-regev,5275,The correct and smart way to beat the algorithm and also such a happy paragon at the end of August I don't have enough it will end already,19,1,1,0,0,1,False,True,Marketing  ,Gratitude,25,0,0
hilla-regev,5275,How to get Gen Z's attention,355,66,0,3,0,14,True,False,Marketing  ,Humor,83,13,0
hilla-regev,5275,"What is happening with Pavel Durov, the founder of Telegram",259,41,0,0,0,8,True,False,Crime  ,Critique,36,4,0
hilla-regev,5275,Hashtag Thoughts: Is Victoria's Secret's new CEO what the company needs?,417,89,0,5,0,12,True,False,Economics  ,Critique,4,0,0
hilla-regev,5275,How Gen Z is changing the global economy and what can be learned from it,283,45,0,0,0,17,True,False,Economics  ,Excitement,77,6,0
hilla-regev,5275,C Perry Piccolo decided to try the new streaming service Disney Plus,437,59,0,0,0,13,True,False,Crime  ,Critique,114,14,2
hilla-regev,5275,Why everyone is now obsessed with cucumber and how it is changing the consumption of vegetables in the United States Logan Moffitt son of Matwa Canada has been running a modest Tiktok account for four years and at the same time developing a burning love for cucumbers,354,67,0,4,0,16,False,True,Marketing  ,Excitement,81,13,0
hilla-regev,5275,How the logo of the Los Angeles Olympics tells its story,256,47,0,0,0,13,True,False,Marketing  ,Critique,61,10,0
hilla-regev,5275,Hashtag thoughts on why India's bankers are abandoning positions,294,48,0,1,1,12,True,False,Economics  ,Critique,11,0,0
hilla-regev,5275,Instagram's new standardization changes the playing field again A must-have post for social media managers and content managers Last week Instagram once again announced the change in the algorithm and the way it is changing its data analysis,150,51,0,1,0,15,True,False,Marketing  ,Excitement,158,22,0
hilla-regev,5275,How stand-up memes and roast shows help us survive the situation,210,43,0,3,0,9,False,False,Social  ,Humor,34,2,0
hilla-regev,5275,You were flying with a company that allows you to choose not to fly alongside men,312,46,0,1,0,12,True,False,Social,Critique,69,39,2
hilla-regev,5275,Thoughts on what you can learn from Bloi about your work,451,70,0,3,0,20,True,False,Education  ,Support,51,8,0
